zip_path,task_name,task,model,timestamp,run_id,basis_folder,modality,task_type,errors,error_rate,passed,total,accuracy_pct,std_pct,log_filename
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_5_20251101_20260415_221122.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,anthropic/claude-opus-4-5@20251101,20260415_221122,anthropic_claude_opus_4_5_20251101_20260415_221122,feature_sensitive,text,counting,1,0.0007092198581560284,1249,1410,88.58,31.81,anthropic_claude_opus_4_5_20251101_20260415_221122.log
selective_attention/feature_sensitive/text/counting/anthropic_claude_opus_4_6_default_20260415_221151.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,anthropic/claude-opus-4-6@default,20260415_221151,anthropic_claude_opus_4_6_default_20260415_221151,feature_sensitive,text,counting,0,0.0,1308,1410,92.77,25.91,anthropic_claude_opus_4_6_default_20260415_221151.log
selective_attention/feature_sensitive/text/counting/anthropic_claude_sonnet_4_5_20250929_20260415_221053.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,anthropic/claude-sonnet-4-5@20250929,20260415_221053,anthropic_claude_sonnet_4_5_20250929_20260415_221053,feature_sensitive,text,counting,0,0.0,1040,1410,73.76,44.01,anthropic_claude_sonnet_4_5_20250929_20260415_221053.log
selective_attention/feature_sensitive/text/counting/anthropic_claude_sonnet_4_6_default_20260415_221113.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,anthropic/claude-sonnet-4-6@default,20260415_221113,anthropic_claude_sonnet_4_6_default_20260415_221113,feature_sensitive,text,counting,0,0.0,988,1410,70.07,45.81,anthropic_claude_sonnet_4_6_default_20260415_221113.log
selective_attention/feature_sensitive/text/counting/deepseek_ai_deepseek_v3.2_20260415_222942.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,deepseek-ai/deepseek-v3.2,20260415_222942,deepseek_ai_deepseek_v3.2_20260415_222942,feature_sensitive,text,counting,0,0.0,629,1410,44.61,49.73,deepseek_ai_deepseek_v3.2_20260415_222942.log
selective_attention/feature_sensitive/text/counting/google_gemini_2.0_flash_20260415_220906.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,google/gemini-2.0-flash,20260415_220906,google_gemini_2.0_flash_20260415_220906,feature_sensitive,text,counting,0,0.0,707,1410,50.14,50.02,google_gemini_2.0_flash_20260415_220906.log
selective_attention/feature_sensitive/text/counting/google_gemini_2.5_flash_20260415_221629.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,google/gemini-2.5-flash,20260415_221629,google_gemini_2.5_flash_20260415_221629,feature_sensitive,text,counting,0,0.0,1401,1410,99.36,7.97,google_gemini_2.5_flash_20260415_221629.log
selective_attention/feature_sensitive/text/counting/google_gemini_2.5_pro_20260415_222357.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,google/gemini-2.5-pro,20260415_222357,google_gemini_2.5_pro_20260415_222357,feature_sensitive,text,counting,0,0.0,1388,1410,98.44,12.4,google_gemini_2.5_pro_20260415_222357.log
selective_attention/feature_sensitive/text/counting/google_gemini_3.1_pro_preview_20260416_110451.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,google/gemini-3.1-pro-preview,20260416_110451,google_gemini_3.1_pro_preview_20260416_110451,feature_sensitive,text,counting,0,0.0,1410,1410,100.0,0.0,google_gemini_3.1_pro_preview_20260416_110451.log
selective_attention/feature_sensitive/text/counting/google_gemini_3_flash_preview_20260415_215943.log,selective attention - feature sensitive text counting,selective attention - feature sensitive text counting,google/gemini-3-flash-preview,20260415_215943,google_gemini_3_flash_preview_20260415_215943,feature_sensitive,text,counting,0,0.0,1410,1410,100.0,0.0,google_gemini_3_flash_preview_20260415_215943.log
